127.0.0.1 - - [01/Jul/2017:15:41:23 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:42:27 +0530] "GET /espm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:42:27 +0530] "GET /espm/ HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:42:28 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:43:22 +0530] "GET /espm/cini1.html HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:39 +0530] "GET /espm/cini1.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:39 +0530] "GET /espm/VijayMersal.jpg HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:39 +0530] "GET /espm/vivegam%20ajith.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:43 +0530] "GET /espm/VijayMersal.jpg HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:43 +0530] "GET /espm/vivegam%20ajith.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:55 +0530] "GET /espm/about.html HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:55 +0530] "GET /espm/cini.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:57 +0530] "GET /espm/contact.html HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:48:57 +0530] "GET /espm/ESP.jpg HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:49:01 +0530] "GET /espm/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:49:01 +0530] "GET /espm/cini.jpg HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:49:08 +0530] "GET /espm/cini1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:15:49:08 +0530] "GET /espm/VijayMersal.jpg HTTP/1.1" 404 991
