127.0.0.1 - - [18/Jul/2017:12:28:37 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:28:45 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:29:25 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:29:31 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:30:21 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:30:25 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:35:58 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:43:11 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:44:23 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:45:56 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:46:33 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:46:43 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:47:34 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:47:46 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:49:52 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:49:56 +0530] "GET /RESTfulExample/rest/tabletemp/Temp HTTP/1.1" 200 14923
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:50:38 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4059
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:51:04 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:51:41 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [18/Jul/2017:12:52:08 +0530] "GET /RESTfulExample/line.jsp HTTP/1.1" 200 4058
